Date,Time,1,2,3,4
1/01/2016,00:00:00,0,0,0,895.4374
1/01/2016,01:00:00,0,0,0,855.008
1/01/2016,02:00:00,0,0,0,834.7933
1/01/2016,03:00:00,0,0,0,815.5279
1/01/2016,04:00:00,0,0,0,802.6854
1/01/2016,05:00:00,0,0,0,847.6358
1/01/2016,06:00:00,0,0,0,950.3791
1/01/2016,07:00:00,0,0,0,1001.7513
1/01/2016,08:00:00,0,0,0,1098.0739
1/01/2016,09:00:00,0,0,0,1194.3954
1/01/2016,10:00:00,0,0,0,1239.3458
1/01/2016,11:00:00,0,0,0,1252.1894
1/01/2016,12:00:00,0,0,0,1213.6597
1/01/2016,13:00:00,0,0,0,1123.76
1/01/2016,14:00:00,0,0,0,1072.3878
1/01/2016,15:00:00,0,0,0,1085.2303
1/01/2016,16:00:00,0,0,0,1110.9164
1/01/2016,17:00:00,0,0,0,1258.6101
1/01/2016,18:00:00,0,0,0,1464.0978
1/01/2016,19:00:00,0,0,0,1457.6771
1/01/2016,20:00:00,0,0,0,1444.8335
1/01/2016,21:00:00,0,0,0,1214.9445
1/01/2016,22:00:00,0,0,0,1068.5345
1/01/2016,23:00:00,0,0,0,922.1245
