Date,Time,1,2,3,4
1/01/2016,00:00:00,0,0,0,732.6306
1/01/2016,01:00:00,0,0,0,699.552
1/01/2016,02:00:00,0,0,0,683.0127
1/01/2016,03:00:00,0,0,0,667.2501
1/01/2016,04:00:00,0,0,0,656.7426
1/01/2016,05:00:00,0,0,0,693.5202
1/01/2016,06:00:00,0,0,0,777.5829
1/01/2016,07:00:00,0,0,0,819.6147
1/01/2016,08:00:00,0,0,0,898.4241
1/01/2016,09:00:00,0,0,0,977.2326
1/01/2016,10:00:00,0,0,0,1014.0102
1/01/2016,11:00:00,0,0,0,1024.5186
1/01/2016,12:00:00,0,0,0,992.9943
1/01/2016,13:00:00,0,0,0,919.44
1/01/2016,14:00:00,0,0,0,877.4082
1/01/2016,15:00:00,0,0,0,887.9157
1/01/2016,16:00:00,0,0,0,908.9316
1/01/2016,17:00:00,0,0,0,1029.7719
1/01/2016,18:00:00,0,0,0,1197.8982
1/01/2016,19:00:00,0,0,0,1192.6449
1/01/2016,20:00:00,0,0,0,1182.1365
1/01/2016,21:00:00,0,0,0,994.0455
1/01/2016,22:00:00,0,0,0,874.2555
1/01/2016,23:00:00,0,0,0,754.4655
