periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4
1.0,1.5979,1.6569,1.6248,1.6839
2.0,1.6688,1.7215,1.6978,1.7505
3.0,1.8159,1.8607,1.8433,1.8881
4.0,1.8362,1.881,1.8645,1.9093
5.0,1.8363,1.881,1.8649,1.9096
6.0,1.8301,1.8812,1.8563,1.9074
7.0,1.8157,1.8854,1.832,1.9016
8.0,1.8158,1.8941,1.8207,1.899
9.0,1.5822,1.6895,1.5701,1.6773
10.0,1.3403,1.464,1.326,1.4496
11.0,1.2477,1.3784,1.2328,1.3634
12.0,1.2197,1.3631,1.2052,1.3486
13.0,1.3212,1.4553,1.3102,1.4443
14.0,1.2906,1.4201,1.2909,1.4204
15.0,1.219,1.3534,1.2237,1.358
16.0,1.2157,1.3502,1.2187,1.3532
17.0,1.2161,1.3494,1.2187,1.352
18.0,1.2368,1.356,1.2482,1.3675
19.0,1.2386,1.3578,1.252,1.3712
20.0,1.2523,1.3617,1.2716,1.381
21.0,1.2595,1.3636,1.2819,1.386
22.0,1.2685,1.3644,1.2938,1.3898
23.0,1.2705,1.3651,1.2969,1.3916
24.0,1.2989,1.368,1.3352,1.4043
