periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4
1.0,4.1397,0.5293,5.0509,2.9491
2.0,3.9697,0.1333,4.9768,3.0232
3.0,3.8567,0.0708,4.9126,3.0874
4.0,3.8155,0.0102,4.9074,3.0926
5.0,3.7994,0.0117,4.9022,3.0978
6.0,4.0599,0.2526,5.0255,2.9745
7.0,4.8536,1.2041,5.3792,2.6208
8.0,5.4051,2.0953,5.5492,2.4508
9.0,6.0809,2.9191,5.7704,2.2296
10.0,6.0312,2.9688,5.7172,2.2828
11.0,6.0288,2.9712,5.7179,2.2821
12.0,6.1549,2.8451,5.8617,2.1383
13.0,6.169,2.6742,5.9344,2.0656
14.0,5.795,2.1701,5.8071,2.1929
15.0,5.6603,1.9752,5.7602,2.2398
16.0,5.7088,2.0627,5.7706,2.2294
17.0,5.7015,2.1001,5.756,2.244
18.0,5.3542,1.6977,5.6134,2.3866
19.0,5.3113,1.5645,5.6105,2.3895
20.0,5.0555,1.2269,5.5045,2.4955
21.0,4.9071,1.0325,5.439,2.561
22.0,4.717,0.9289,5.3375,2.6625
23.0,4.6698,0.8277,5.3203,2.6797
24.0,3.9885,0.0395,4.9966,3.0034
