periods,ngnode 1,ngnode 2,ngnode 3,ngnode 4
1.0,10.0,10.0,10.0,10.0
2.0,10.0,10.0,10.0,10.0
3.0,10.0,10.0,10.0,10.0
4.0,10.0,10.0,10.0,10.0
5.0,10.0,10.0,10.0,10.0
6.0,10.0,10.0,10.0,10.0
7.0,10.0,10.005,9.999,10.001
8.0,10.0,10.243,9.745,10.028
9.0,16.476,16.476,16.476,16.476
10.0,16.476,16.476,16.476,16.476
11.0,16.471,16.472,16.479,16.483
12.0,16.217,16.193,16.521,16.989
13.0,10.0,10.0,10.0,10.0
14.0,10.0,10.0,10.0,10.0
15.0,10.0,10.0,10.0,10.0
16.0,10.0,10.0,10.0,10.0
17.0,10.0,10.0,10.0,10.0
18.0,10.0,10.0,10.0,10.0
19.0,10.0,10.0,10.0,10.0
20.0,10.0,10.0,10.0,10.0
21.0,10.0,10.0,10.0,10.0
22.0,10.0,9.998,9.999,9.998
23.0,10.0,9.967,9.992,9.972
24.0,10.0,9.376,9.987,9.475
