periods,gnode 1,gnode 2,gnode 3,gnode 4
1.0,48.4715,44.97,48.4253,50.05
2.0,50.338,47.2552,50.3361,52.0335
3.0,54.4059,51.786,54.4059,56.01
4.0,55.0,52.3786,55.0,56.6537
5.0,55.0,52.3872,55.0,56.6702
6.0,55.0113,52.0129,55.0,56.543
7.0,55.2547,50.9295,55.0,56.2033
8.0,55.7672,50.4191,55.0,56.0525
9.0,50.2986,42.2292,48.5026,49.588
10.0,43.8846,34.4984,41.7285,43.0456
11.0,41.3981,31.5655,39.2074,40.5255
12.0,40.8496,30.4789,38.8652,40.0
13.0,43.3403,33.9227,41.7626,42.6996
14.0,42.0835,33.3883,40.9633,42.1009
15.0,40.068,31.2213,39.0772,40.3395
16.0,40.0044,31.0882,38.9553,40.1788
17.0,40.0003,31.1157,38.9135,40.1522
18.0,40.0,32.3251,39.2962,40.6718
19.0,40.0,32.4319,39.4015,40.7835
20.0,40.0,33.2347,39.6337,41.1268
21.0,40.0,33.6544,39.7406,41.3105
22.0,40.0,34.1805,39.79,41.4831
23.0,40.0,34.2971,39.8333,41.5474
24.0,40.0,35.958,39.9996,42.1256
