periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4
1.0,3.9874,0.1865,4.9937,3.0326
2.0,3.858,0.0694,4.9444,2.9558
3.0,3.6659,0.0032,4.8109,2.8782
4.0,3.8045,0.0944,4.877,2.9668
5.0,3.8966,0.0627,4.8044,3.0465
6.0,4.0367,0.3619,5.0635,2.8672
7.0,4.8328,1.2799,5.4804,2.5467
8.0,5.4992,2.1386,5.6147,2.4013
9.0,6.3853,3.1287,6.0983,2.4463
10.0,6.2648,3.2837,6.1177,2.4212
11.0,6.0559,3.0748,5.7686,2.3503
12.0,6.093,2.8921,5.8709,2.1214
13.0,6.0165,2.5762,5.7722,1.9758
14.0,5.9364,2.4245,5.7494,1.9975
15.0,5.8003,2.2414,5.7589,2.1028
16.0,5.717,2.0719,5.7707,2.2282
17.0,5.6874,2.0501,5.7697,2.296
18.0,5.2924,1.6084,5.6249,2.454
19.0,5.2437,1.5453,5.6726,2.4032
20.0,4.8713,1.2338,5.6553,2.4749
21.0,4.5463,1.1709,5.7823,2.4159
22.0,4.3145,1.2799,5.7191,2.3069
23.0,4.2823,1.2099,5.7026,2.295
24.0,3.6446,0.3875,5.2737,2.6398
