periods,ngnode 1,ngnode 2,ngnode 3,ngnode 4
1.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,328.76
12.0,0.0,0.0,0.0,619.761
13.0,0.0,0.0,0.0,-0.0
14.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0
19.0,0.001,0.0,0.0,0.0
20.0,0.01,0.0,0.0,0.0
21.0,0.169,0.0,0.0,0.0
22.0,2.809,0.0,0.0,0.0
23.0,46.193,0.0,0.0,0.0
24.0,1364.246,0.0,0.0,0.0
