periods,ngnode 1,ngnode 2,ngnode 3,ngnode 4
1.0,10.0,10.0,10.0,10.0
2.0,10.0,10.0,10.0,10.0
3.0,10.0,10.0,10.0,10.0
4.0,10.0,10.0,10.0,10.0
5.0,10.0,10.0,10.0,10.0
6.0,10.0,10.0,10.0,10.0
7.0,10.0,10.004,9.999,10.001
8.0,10.0,10.236,9.747,10.019
9.0,16.333,16.333,16.333,16.333
10.0,16.331,16.331,16.334,16.335
11.0,16.234,16.236,16.346,16.52
12.0,13.975,13.959,14.175,14.477
13.0,10.0,10.0,10.0,10.0
14.0,10.0,10.0,10.0,10.0
15.0,10.0,10.0,10.0,10.0
16.0,10.0,10.0,10.0,10.0
17.0,10.0,10.0,10.0,10.0
18.0,10.0,10.0,10.0,10.0
19.0,10.0,10.0,10.0,10.0
20.0,10.0,10.0,10.0,10.0
21.0,10.0,10.0,10.0,10.0
22.0,10.0,9.998,9.999,9.998
23.0,10.0,9.964,9.986,9.968
24.0,10.0,9.369,9.871,9.434
