periods,Pipe1 ,Pipe2 ,Pipe3 ,Pipe4
1.0,1.4263,1.4899,1.4617,1.5252
2.0,1.4796,1.5401,1.513,1.5736
3.0,1.6427,1.6947,1.6727,1.7247
4.0,1.722,1.7723,1.7517,1.802
5.0,1.7968,1.8462,1.8267,1.8761
6.0,1.8304,1.881,1.8607,1.9113
7.0,1.8191,1.8865,1.8388,1.9061
8.0,1.8228,1.8991,1.8263,1.9026
9.0,1.5479,1.6599,1.5362,1.6481
10.0,1.2657,1.3936,1.2587,1.3866
11.0,1.1981,1.3305,1.197,1.3295
12.0,1.2017,1.3418,1.197,1.3371
13.0,1.3379,1.4702,1.3269,1.4592
14.0,1.467,1.586,1.4601,1.5791
15.0,1.5353,1.6463,1.5333,1.6443
16.0,1.5324,1.6413,1.5349,1.6437
17.0,1.4978,1.6074,1.5016,1.6113
18.0,1.4534,1.5557,1.4658,1.5681
19.0,1.4131,1.5206,1.4253,1.5329
20.0,1.342,1.4517,1.3592,1.4688
21.0,1.2348,1.3618,1.2515,1.3784
22.0,1.2281,1.3559,1.2381,1.3659
23.0,1.2292,1.3564,1.2395,1.3668
24.0,1.2721,1.3664,1.2992,1.3936
