periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4
1.0,4.4811,0.2848,4.7479,3.2521
2.0,4.3672,0.0757,4.7498,3.2502
3.0,3.5594,0.0232,5.046,2.954
4.0,3.7001,0.0495,4.9884,3.0116
5.0,3.6703,0.1458,5.0344,2.9656
6.0,3.9445,0.37,5.1423,2.8577
7.0,4.7832,1.2777,5.452,2.548
8.0,5.4514,2.1151,5.5617,2.4383
9.0,6.0311,2.9689,5.8377,2.1623
10.0,5.9878,3.0122,5.7819,2.2181
11.0,5.96,3.04,5.7891,2.2109
12.0,6.1508,2.8492,5.8597,2.1403
13.0,5.7878,2.9075,6.2157,1.7843
14.0,5.9159,2.3262,5.8529,2.1471
15.0,5.9834,3.0166,6.1245,1.8755
16.0,6.2925,2.2561,5.5946,2.4054
17.0,4.5804,1.0389,5.7449,2.2551
18.0,5.5115,1.4394,5.3875,2.6125
19.0,5.1408,1.71,5.7863,2.2137
20.0,4.8727,1.4128,5.6887,2.3113
21.0,4.7205,1.2254,5.6287,2.3713
22.0,4.5301,1.1207,5.5273,2.4727
23.0,4.4834,1.0177,5.5087,2.4913
24.0,4.0331,0.0042,4.945,3.055
