periods,gnode 1,gnode 2,gnode 3,gnode 4
1.0,49.2228,45.1707,49.2131,51.1422
2.0,53.6426,50.0087,53.6426,55.4396
3.0,55.0,52.3253,55.0,56.9682
4.0,55.0078,52.5358,55.0,56.9509
5.0,55.0138,52.5806,55.0,57.0711
6.0,55.055,52.2321,55.0,56.9475
7.0,55.3774,51.1936,55.0,56.5785
8.0,56.2606,50.8784,55.0,56.4858
9.0,50.2419,42.2797,48.3757,49.7996
10.0,43.5208,34.1654,41.2744,42.967
11.0,40.9931,31.2925,38.6726,40.509
12.0,40.4856,30.0,38.4788,40.0
13.0,42.649,31.279,40.729,41.5165
14.0,42.8208,34.0453,41.584,42.6314
15.0,51.215,42.1026,49.6204,50.2112
16.0,55.8264,48.5943,55.0,55.9714
17.0,40.0,30.8489,39.5834,41.1059
18.0,40.0,30.3724,39.3355,40.991
19.0,40.0,31.0816,38.9995,40.2124
20.0,40.0,31.9211,39.2733,40.5679
21.0,40.0,32.4097,39.4451,40.8032
22.0,40.0,33.0043,39.5358,41.0084
23.0,40.0,33.1662,39.6093,41.1024
24.0,40.0,34.3675,40.0,42.1892
