periods,G1,G2,G3
1.0,30.0,750.0,34.034
2.0,0.0,777.28,0.0
3.0,0.0,758.903,0.0
4.0,0.0,741.389,0.0
5.0,0.0,729.714,0.0
6.0,0.0,770.578,0.0
7.0,0.0,819.019,44.962
8.0,43.432,747.29,119.962
9.0,118.431,684.856,194.962
10.0,193.431,622.421,269.962
11.0,180.0,601.717,344.961
12.0,105.0,763.393,269.961
13.0,30.0,878.366,194.961
14.0,0.0,900.0,121.6
15.0,0.0,900.0,74.898
16.0,0.0,900.0,86.573
17.0,0.0,878.926,130.998
18.0,75.0,863.193,205.998
19.0,150.0,900.0,280.998
20.0,86.676,900.0,338.485
21.0,150.0,900.0,263.485
22.0,75.0,841.01,188.485
23.0,0.0,857.91,113.485
24.0,0.0,799.81,38.485
