periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4
1.0,0.0046,0.0,0.006,0.0029
2.0,0.0066,0.0,0.003,0.0034
3.0,0.0078,0.0,0.0017,0.003
4.0,0.0035,0.0,0.0033,0.0026
5.0,0.001,0.0,0.0128,0.0022
6.0,0.0001,0.0,0.005,0.0122
7.0,0.0,0.0011,0.0,0.012
8.0,0.0,0.0089,0.0,0.0091
9.0,0.0007,0.0018,0.0018,0.0035
10.0,0.0,0.0,0.0001,0.0331
11.0,0.0,0.0,0.0375,0.0439
12.0,0.0,0.0,0.0187,0.0333
13.0,0.0061,0.0016,0.0071,0.001
14.0,0.0045,0.001,0.0068,0.001
15.0,0.0072,0.0009,0.0062,0.0011
16.0,0.0065,0.0009,0.007,0.0012
17.0,0.0059,0.0009,0.0072,0.0012
18.0,0.0075,0.0008,0.0054,0.0012
19.0,0.0167,0.0011,0.0037,0.0008
20.0,0.0423,0.0014,0.0019,0.0005
21.0,0.1075,0.0042,0.0032,0.0005
22.0,0.1414,0.0153,0.0001,0.0
23.0,0.1418,0.0157,0.0,0.0
24.0,0.0975,0.0027,0.0,0.0
