periods,Hidraulic Power,Thermal power,Start-up and-Shut down,Power shedding,Well Production,Gas shedding
1.0,0,0.013,-0.0,-0.0,0.12,-0.0
2.0,0,0.005,-0.0,-0.0,0.105,-0.0
3.0,0,0.005,-0.0,-0.0,0.1,-0.0
4.0,0,0.007,-0.0,-0.0,0.102,-0.0
5.0,0,0.012,-0.0,-0.0,0.099,-0.0
6.0,0,0.023,0.001,-0.0,0.097,-0.0
7.0,0,0.034,-0.0,-0.0,0.093,-0.0
8.0,0,0.044,-0.0,-0.0,0.146,-0.0
9.0,0,0.055,-0.0,-0.0,0.146,-0.0
10.0,0,0.064,-0.0,-0.0,0.146,-0.0
11.0,0,0.066,-0.0,-0.0,0.146,-0.0
12.0,0,0.056,-0.0,-0.0,0.146,-0.0
13.0,0,0.045,-0.0,-0.0,0.145,-0.0
14.0,0,0.034,-0.0,-0.0,0.144,-0.0
15.0,0,0.024,-0.0,-0.0,0.145,-0.0
16.0,0,0.016,-0.0,-0.0,0.134,-0.0
17.0,0,0.022,-0.0,-0.0,0.136,-0.0
18.0,0,0.032,-0.0,-0.0,0.136,-0.0
19.0,0,0.044,-0.0,-0.0,0.135,-0.0
20.0,0,0.043,-0.0,-0.0,0.129,-0.0
21.0,0,0.042,-0.0,-0.0,0.125,-0.0
22.0,0,0.031,-0.0,-0.0,0.121,-0.0
23.0,0,0.02,-0.0,-0.0,0.119,-0.0
24.0,0,0.01,-0.0,-0.0,0.106,-0.0
