periods,2001 1->2,2002 1->3,2003 2->4,2004 3->4
1.0,-156.738,197.175,593.262,302.175
2.0,-218.315,218.315,606.693,248.315
3.0,-212.767,212.767,592.027,242.767
4.0,-186.342,186.342,560.41,255.118
5.0,-141.935,141.935,516.976,285.71
6.0,-54.427,129.427,499.434,348.202
7.0,17.219,132.781,523.823,426.556
8.0,102.964,122.036,510.94,490.811
9.0,176.372,123.628,530.67,567.403
10.0,239.545,135.455,558.941,635.455
11.0,244.297,152.44,586.906,652.44
12.0,140.927,180.81,646.379,605.81
13.0,51.658,195.08,668.58,545.08
14.0,-23.513,195.251,653.509,470.251
15.0,-109.258,205.996,666.392,405.996
16.0,-189.654,219.654,710.346,374.884
17.0,-152.78,186.648,694.039,416.878
18.0,-93.472,202.339,751.041,507.569
19.0,-50.026,233.893,849.974,614.123
20.0,-56.831,219.675,843.169,614.508
21.0,-45.324,270.324,854.676,590.158
22.0,-82.073,232.073,738.038,476.907
23.0,-141.734,216.734,681.967,386.567
24.0,-201.395,201.395,625.896,296.228
