periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4
1.0,4.839,1.5472,5.307,2.693
2.0,4.3685,0.5116,5.1782,2.8218
3.0,4.1264,0.2327,5.0616,2.9384
4.0,4.1442,0.4296,5.0618,2.9382
5.0,3.9155,0.3721,4.9502,3.0498
6.0,3.7051,0.4024,4.8484,3.1516
7.0,3.5737,0.142,4.8475,3.1525
8.0,5.7123,3.2877,5.3641,2.6359
9.0,5.81,3.19,5.4696,2.5304
10.0,5.7925,3.2075,5.449,2.551
11.0,5.7792,3.2208,5.4372,2.5628
12.0,5.901,3.099,5.5765,2.4235
13.0,5.9218,2.9692,5.6445,2.3555
14.0,5.9528,2.8966,5.6941,2.3059
15.0,6.0576,2.8032,5.8049,2.1951
16.0,5.7854,2.0501,5.8329,2.1671
17.0,5.7978,2.2045,5.7967,2.2033
18.0,5.7485,2.2271,5.7554,2.2446
19.0,5.7648,2.1389,5.7913,2.2087
20.0,5.4868,1.7835,5.6844,2.3156
21.0,5.319,1.5707,5.6149,2.3851
22.0,5.066,1.4306,5.4772,2.5228
23.0,4.9616,1.2951,5.4342,2.5658
24.0,4.4104,0.5507,5.1988,2.8012
