periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4
1.0,4.5417,1.2213,4.9624,2.3197
2.0,4.3664,0.5138,5.1663,2.8141
3.0,4.121,0.2332,5.0535,2.9363
4.0,4.1439,0.4292,5.0619,2.9382
5.0,3.9098,0.3723,4.9424,3.0479
6.0,3.6999,0.4023,4.8414,3.1497
7.0,4.057,0.6068,5.316,3.6025
8.0,5.2247,2.7959,4.9303,2.198
9.0,6.0372,3.3947,5.6996,2.7378
10.0,6.0678,3.4648,5.7267,2.8106
11.0,5.8759,3.3125,5.5346,2.6551
12.0,5.907,3.0955,5.5819,2.4194
13.0,5.751,2.8122,5.4702,2.1949
14.0,5.775,2.7284,5.5145,2.1359
15.0,5.9483,2.6936,5.695,2.0849
16.0,6.0751,2.3122,6.1114,2.418
17.0,6.001,2.3901,6.0018,2.3907
18.0,5.7387,2.2257,5.7453,2.2429
19.0,5.7661,2.1372,5.7917,2.2061
20.0,5.4697,1.7775,5.6596,2.302
21.0,5.3099,1.5677,5.6015,2.3778
22.0,5.0526,1.4289,5.4593,2.5166
23.0,4.9566,1.2935,5.4268,2.5618
24.0,4.3849,0.545,5.1628,2.785
