periods,Pipe1  1->2,Pipe2  1->3,Pipe3  4->2,Pipe4 4->3
1.0,4.6904,1.3843,5.1347,2.5064
2.0,4.3675,0.5127,5.1723,2.8179
3.0,4.1237,0.233,5.0575,2.9374
4.0,4.144,0.4294,5.0618,2.9382
5.0,3.9127,0.3722,4.9463,3.0488
6.0,3.7025,0.4023,4.8449,3.1506
7.0,3.8153,0.3744,5.0817,3.3775
8.0,5.4685,3.0418,5.1472,2.417
9.0,5.9236,3.2924,5.5846,2.6341
10.0,5.9301,3.3361,5.5878,2.6808
11.0,5.8275,3.2667,5.4859,2.609
12.0,5.904,3.0972,5.5792,2.4214
13.0,5.8364,2.8907,5.5573,2.2752
14.0,5.8639,2.8125,5.6043,2.2209
15.0,6.003,2.7484,5.7499,2.14
16.0,5.9303,2.1811,5.9721,2.2926
17.0,5.8994,2.2973,5.8993,2.297
18.0,5.7436,2.2264,5.7504,2.2437
19.0,5.7655,2.138,5.7915,2.2074
20.0,5.4782,1.7805,5.672,2.3088
21.0,5.3144,1.5692,5.6082,2.3814
22.0,5.0593,1.4297,5.4682,2.5197
23.0,4.9591,1.2943,5.4305,2.5638
24.0,4.3976,0.5478,5.1808,2.7931
