periods,ngnode 1,ngnode 2,ngnode 3,ngnode 4
1.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,3242.189
12.0,0.0,0.0,0.0,12.39
13.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0
19.0,0.001,0.0,0.0,0.0
20.0,0.016,0.0,0.0,0.0
21.0,0.23,0.0,0.0,0.0
22.0,3.418,0.0,0.0,0.0
23.0,52.281,0.0,0.0,0.0
24.0,1348.359,0.0,0.0,0.0
