periods,bus 1,bus 2,bus 3,bus 4
1.0,75.0,75.0,75.0,75.0
2.0,53.5,53.5,53.5,53.5
3.0,53.5,53.5,53.5,53.5
4.0,53.5,53.5,53.5,53.5
5.0,53.5,53.5,53.5,53.5
6.0,53.502,53.502,53.502,53.502
7.0,53.596,53.596,53.596,53.596
8.0,57.648,57.648,57.648,57.648
9.0,164.755,164.755,164.755,164.755
10.0,164.707,164.707,164.707,164.707
11.0,160.594,160.594,160.594,160.594
12.0,53.906,53.906,53.906,53.906
13.0,53.5,53.5,53.5,53.5
14.0,53.5,53.5,53.5,53.5
15.0,53.5,53.5,53.5,53.5
16.0,55.0,55.0,55.0,55.0
17.0,53.5,53.5,53.5,53.5
18.0,53.5,53.5,53.5,53.5
19.0,118.0,118.0,118.0,118.0
20.0,75.0,75.0,75.0,75.0
21.0,118.354,118.354,118.354,118.354
22.0,53.486,53.486,53.486,53.486
23.0,53.278,53.278,53.278,53.278
24.0,49.882,49.882,49.882,49.882
