periods,2001 1->2,2002 1->3,2003 2->4,2004 3->4
1.0,-181.285,211.285,568.715,245.319
2.0,-213.335,213.335,563.945,213.335
3.0,-208.291,208.291,550.612,208.291
4.0,-203.484,203.484,537.905,203.484
5.0,-200.279,200.279,529.435,200.279
6.0,-211.495,211.495,559.083,211.495
7.0,-208.062,208.062,602.592,261.389
8.0,-129.119,193.836,588.52,322.163
9.0,-53.308,193.025,601.897,396.352
10.0,22.504,192.213,615.274,470.54
11.0,1.293,148.707,624.644,502.034
12.0,-101.756,176.756,683.271,455.083
13.0,-191.987,191.987,708.013,395.314
14.0,-210.439,210.439,682.834,338.766
15.0,-226.746,226.746,673.254,301.644
16.0,-223.586,223.586,676.414,310.159
17.0,-205.779,205.779,673.147,336.777
18.0,-142.785,217.785,720.408,423.783
19.0,-94.212,244.212,805.788,525.21
20.0,-111.056,197.732,788.944,536.217
21.0,-98.952,248.952,801.048,512.437
22.0,-141.437,216.437,699.573,404.922
23.0,-204.75,204.75,653.16,318.235
24.0,-209.103,209.103,590.707,247.588
