periods,Pipe1  1->2,Pipe2  1->3,Pipe3  4->2,Pipe4 4->3
1.0,4.1026,0.4798,4.9832,2.869
2.0,3.9342,0.101,4.9403,2.9899
3.0,3.7832,0.0012,4.8399,3.0186
4.0,3.8053,0.0,4.8969,3.082
5.0,3.7993,0.0117,4.902,3.0976
6.0,4.063,0.2525,5.0298,2.9756
7.0,4.8608,1.202,5.3913,2.6237
8.0,5.4051,2.0909,5.5548,2.4521
9.0,6.1976,3.0214,5.8957,2.3404
10.0,6.1521,3.0816,5.8392,2.3967
11.0,6.0751,3.014,5.7645,2.3252
12.0,6.1689,2.8527,5.8755,2.1457
13.0,6.1182,2.6281,5.8819,2.0177
14.0,5.8104,2.1877,5.8168,2.2048
15.0,5.696,2.0086,5.7938,2.271
16.0,5.7104,2.0643,5.7731,2.2318
17.0,5.7013,2.1005,5.756,2.2446
18.0,5.3438,1.6944,5.5986,2.3789
19.0,5.3104,1.5636,5.6086,2.3877
20.0,5.0486,1.225,5.4947,2.4906
21.0,4.9035,1.0316,5.4338,2.5586
22.0,4.7125,0.9285,5.3315,2.6606
23.0,4.6688,0.8273,5.3187,2.6788
24.0,3.9743,0.0381,4.9775,2.997
