periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4
1.0,4.4614,0.6845,5.0427,2.8566
2.0,4.4453,0.5262,5.0875,2.8016
3.0,4.2494,0.4014,4.9251,2.7682
4.0,4.2419,0.7092,5.114,2.6582
5.0,3.9475,0.4927,5.0549,2.9274
6.0,3.7209,0.5333,4.9706,3.0187
7.0,4.0535,0.847,5.4697,3.3622
8.0,5.3165,2.773,4.9887,2.2209
9.0,6.1486,3.3564,5.7383,2.7761
10.0,5.9915,3.5818,5.8593,2.6936
11.0,6.0496,3.1328,5.336,2.8348
12.0,6.0009,2.9885,5.463,2.5264
13.0,5.7242,2.7915,5.472,2.2156
14.0,5.7354,2.6799,5.5292,2.1843
15.0,5.89,2.6092,5.7284,2.1694
16.0,6.1808,2.6187,6.0057,2.1115
17.0,6.0787,2.6163,5.9241,2.1645
18.0,5.7104,2.178,5.7737,2.2905
19.0,5.5834,1.9599,5.9745,2.3834
20.0,5.1868,1.983,5.9425,2.0965
21.0,5.0225,1.8248,5.8889,2.1207
22.0,4.8283,1.638,5.6836,2.3075
23.0,4.636,1.6099,5.7474,2.2455
24.0,3.9058,0.8446,5.4169,2.4854
