periods,Pipe1  1->2,Pipe2  1->3,Pipe3  4->2,Pipe4 4->3
1.0,4.4451,0.6882,5.0579,2.8918
2.0,4.4739,0.5545,5.1154,2.8292
3.0,4.3297,0.4761,5.0046,2.842
4.0,4.3008,0.7647,5.1726,2.7135
5.0,3.9518,0.4926,5.0616,2.9296
6.0,3.7236,0.5333,4.9747,3.02
7.0,3.8335,0.6346,5.258,3.158
8.0,5.5431,3.0016,5.1853,2.4195
9.0,6.0169,3.2356,5.6043,2.653
10.0,5.8433,3.4433,5.7163,2.5602
11.0,6.0009,3.0903,5.2902,2.7952
12.0,6.0009,2.9938,5.463,2.5317
13.0,5.8115,2.872,5.5535,2.2903
14.0,5.8077,2.7481,5.6029,2.2538
15.0,5.9139,2.635,5.753,2.1959
16.0,6.148,2.5941,5.9722,2.0863
17.0,6.0563,2.5937,5.902,2.1423
18.0,5.6912,2.1554,5.7593,2.2728
19.0,5.4855,1.8738,5.8791,2.2998
20.0,5.1779,1.9788,5.9303,2.0892
21.0,5.0203,1.8228,5.8865,2.1183
22.0,4.8332,1.6376,5.6884,2.3071
23.0,4.639,1.6105,5.7504,2.2461
24.0,3.9272,0.8523,5.4482,2.5029
