periods,ngnode 1,ngnode 2,ngnode 3,ngnode 4
1.0,10.0,10.0,10.0,10.0
2.0,10.0,10.0,10.0,10.0
3.0,10.0,10.0,10.0,10.0
4.0,10.0,10.0,10.0,10.0
5.0,10.0,10.0,10.0,10.0
6.0,10.0,10.0,10.0,10.0
7.0,10.0,10.016,9.997,10.003
8.0,10.123,10.711,9.137,10.01
9.0,29.073,29.073,29.073,29.073
10.0,29.056,29.066,29.079,29.09
11.0,28.317,28.482,29.028,30.484
12.0,13.001,13.018,13.145,13.409
13.0,10.0,10.0,10.0,10.0
14.0,10.0,10.0,10.0,10.0
15.0,10.0,10.0,10.0,10.0
16.0,10.0,10.0,10.0,10.0
17.0,10.0,10.0,10.0,10.0
18.0,10.0,10.0,10.0,10.0
19.0,10.0,10.0,10.0,10.0
20.0,10.0,10.0,10.0,10.0
21.0,10.0,10.0,10.0,10.0
22.0,10.0,9.997,9.998,9.997
23.0,10.0,9.953,9.977,9.956
24.0,10.0,9.288,9.726,9.327
