periods,bus 1,bus 2,bus 3,bus 4
1.0,75.0,75.0,75.0,75.0
2.0,53.5,53.5,53.5,53.5
3.0,53.5,53.5,53.5,53.5
4.0,53.5,53.5,53.5,53.5
5.0,53.5,53.5,53.5,53.5
6.0,53.501,53.501,53.501,53.501
7.0,53.578,53.578,53.578,53.578
8.0,57.057,57.057,57.057,57.057
9.0,148.864,148.864,148.864,148.864
10.0,148.83,148.83,148.83,148.83
11.0,145.912,145.912,145.912,145.912
12.0,68.588,68.588,68.588,68.588
13.0,53.5,53.5,53.5,53.5
14.0,53.5,53.5,53.5,53.5
15.0,53.5,53.5,53.5,53.5
16.0,55.0,55.0,55.0,55.0
17.0,53.5,53.5,53.5,53.5
18.0,53.5,53.5,53.5,53.5
19.0,118.0,118.0,118.0,118.0
20.0,75.0,75.0,75.0,75.0
21.0,118.311,118.311,118.311,118.311
22.0,53.484,53.484,53.484,53.484
23.0,53.266,53.266,53.266,53.266
24.0,49.94,49.94,49.94,49.94
