periods,Pipe1 ,Pipe2 ,Pipe3 ,Pipe4
1.0,1.491,1.5654,1.5197,1.5941
2.0,1.5482,1.622,1.5755,1.6492
3.0,1.7089,1.7714,1.7345,1.7969
4.0,1.8266,1.8825,1.8516,1.9076
5.0,1.8351,1.8823,1.8649,1.912
6.0,1.8406,1.8822,1.8729,1.9145
7.0,1.4007,1.4573,1.4494,1.5061
8.0,1.8539,1.9146,1.8426,1.9033
9.0,1.5905,1.673,1.5745,1.657
10.0,1.2943,1.3959,1.2885,1.3901
11.0,1.197,1.3108,1.197,1.3108
12.0,1.197,1.3214,1.197,1.3214
13.0,1.3715,1.4824,1.36,1.4709
14.0,1.5162,1.6187,1.5075,1.6099
15.0,1.5639,1.6704,1.5566,1.663
16.0,1.4982,1.6212,1.4897,1.6127
17.0,1.4533,1.5761,1.4456,1.5684
18.0,1.4149,1.5309,1.4169,1.5329
19.0,1.2192,1.3587,1.2262,1.3657
20.0,1.2013,1.3503,1.202,1.3509
21.0,1.197,1.3462,1.197,1.3462
22.0,1.2067,1.3455,1.2067,1.3455
23.0,1.2126,1.3467,1.2126,1.3467
24.0,1.2555,1.362,1.2752,1.3818
