periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4
1.0,4.3907,0.1594,4.5904,3.0597
2.0,4.2089,-0.0757,4.5936,3.101
3.0,3.4966,-0.0232,4.9803,2.9046
4.0,3.6964,0.0494,4.9851,3.0119
5.0,3.6695,0.1457,5.0316,2.9635
6.0,3.9498,0.3693,5.1504,2.8598
7.0,4.7954,1.2722,5.476,2.5544
8.0,5.4417,2.1,5.5686,2.4399
9.0,6.2811,3.1851,6.099,2.3899
10.0,6.2415,3.2485,6.0375,2.4563
11.0,6.0523,3.1277,5.8803,2.2974
12.0,6.1816,2.8612,5.8905,2.1523
13.0,5.729,2.832,6.1679,1.7199
14.0,5.8657,2.3086,5.7865,2.1134
15.0,5.7021,2.7356,5.8571,1.6085
16.0,6.1027,2.0852,5.3851,2.2149
17.0,5.1545,1.5732,6.3026,2.7729
18.0,5.5197,1.4437,5.3976,2.6187
19.0,5.1287,1.7157,5.7875,2.2327
20.0,4.8583,1.4081,5.6683,2.3005
21.0,4.7122,1.2225,5.6164,2.3643
22.0,4.5199,1.1192,5.5137,2.4676
23.0,4.4806,1.0164,5.5043,2.4884
24.0,4.0126,-0.0025,4.9058,3.0298
