periods,Pipe1  1->2,Pipe2  1->3,Pipe3  4->2,Pipe4 4->3
1.0,4.4359,0.2221,4.6692,3.1559
2.0,4.288,0.0,4.6717,3.1756
3.0,3.528,0.0,5.0131,2.9293
4.0,3.6982,0.0495,4.9868,3.0117
5.0,3.6699,0.1457,5.033,2.9646
6.0,3.9472,0.3697,5.1464,2.8587
7.0,4.7893,1.275,5.464,2.5512
8.0,5.4465,2.1076,5.5651,2.4391
9.0,6.1561,3.077,5.9684,2.2761
10.0,6.1147,3.1304,5.9097,2.3372
11.0,6.0061,3.0839,5.8347,2.2541
12.0,6.1662,2.8552,5.8751,2.1463
13.0,5.7584,2.8698,6.1918,1.7521
14.0,5.8908,2.3174,5.8197,2.1303
15.0,5.8428,2.8761,5.9908,1.742
16.0,6.1976,2.1706,5.4898,2.3102
17.0,4.8675,1.3061,6.0237,2.514
18.0,5.5156,1.4416,5.3926,2.6156
19.0,5.1348,1.7129,5.7869,2.2232
20.0,4.8655,1.4105,5.6785,2.3059
21.0,4.7163,1.224,5.6226,2.3678
22.0,4.525,1.12,5.5205,2.4701
23.0,4.482,1.0171,5.5065,2.4898
24.0,4.0228,0.0009,4.9254,3.0424
