periods,bus 1,bus 2,bus 3,bus 4
1.0,70.0,70.0,70.0,70.0
2.0,53.5,53.5,53.5,53.5
3.0,53.5,53.5,53.5,53.5
4.0,53.5,53.5,53.5,53.5
5.0,53.5,53.5,53.5,53.5
6.0,53.5,53.5,53.5,53.5
7.0,53.522,53.522,53.522,53.522
8.0,54.678,54.678,54.678,54.678
9.0,85.161,85.161,85.161,85.161
10.0,85.161,85.161,85.161,85.161
11.0,85.141,85.141,85.141,85.141
12.0,83.755,83.755,83.755,83.755
13.0,59.083,59.083,59.083,59.083
14.0,53.5,53.5,53.5,53.5
15.0,70.0,70.0,70.0,70.0
16.0,70.0,70.0,70.0,70.0
17.0,53.5,53.5,53.5,53.5
18.0,53.5,53.5,53.5,53.5
19.0,103.0,103.0,103.0,103.0
20.0,75.0,75.0,75.0,75.0
21.0,117.918,117.918,117.918,117.918
22.0,53.49,53.49,53.49,53.49
23.0,53.329,53.329,53.329,53.329
24.0,50.262,50.262,50.262,50.262
