periods,gen G1,gen G2,gen G3
1.0,40.4374,3.75,105.0
2.0,0.0,4.125,30.0
3.0,0.0,4.024,30.0
4.0,0.0,3.8839,38.7432
5.0,0.0,3.4447,113.7432
6.0,75.0,2.9195,188.7432
7.0,150.0,2.6832,263.7432
8.0,225.0,2.19,338.7432
9.0,300.0,1.9217,413.7432
10.0,375.0,1.6533,488.7432
11.0,401.7291,1.6881,500.0
12.0,326.7291,2.5023,425.0
13.0,251.7291,3.0597,350.0
14.0,176.7291,3.3602,275.0
15.0,101.7291,3.8533,200.0
16.0,30.0,4.5,155.2303
17.0,33.8675,4.2341,230.2303
18.0,108.8675,4.2226,305.2303
19.0,183.8675,4.5,380.2303
20.0,117.8436,4.5,439.8335
21.0,180.0,4.5,364.8335
22.0,105.0,4.1006,289.8335
23.0,30.0,4.1185,214.8335
24.0,0.0,3.9115,139.8335
