periods,gnode 1,gnode 2,gnode 3,gnode 4
1.0,45.8238,41.3684,45.7192,47.504
2.0,47.4599,43.0808,47.3936,49.0535
3.0,51.8175,48.1186,51.7728,53.3116
4.0,55.0988,51.7176,54.9912,56.5636
5.0,55.0733,52.2444,55.0,56.8113
6.0,55.0718,52.5679,55.0,56.96
7.0,42.6986,39.2112,42.5235,45.5512
8.0,56.9622,51.4531,55.0,56.3033
9.0,50.2887,42.7224,47.5449,49.3531
10.0,42.2283,33.4591,39.4051,41.8889
11.0,40.0,30.0,36.6546,40.0
12.0,40.0,30.0,37.2742,40.0
13.0,44.2879,35.9178,42.4029,43.6122
14.0,48.1205,40.5474,46.5376,47.6079
15.0,49.5486,41.9101,48.1331,49.119
16.0,48.1112,39.5015,46.6952,47.6168
17.0,46.8115,38.1758,45.3594,46.3596
18.0,45.281,37.4631,44.2455,45.3954
19.0,40.1807,31.1196,39.277,40.5869
20.0,40.0034,30.2509,38.961,40.0387
21.0,40.0001,30.0008,38.7276,40.0003
22.0,40.0,30.5661,38.6851,40.0
23.0,40.0,30.9123,38.7548,40.0
24.0,40.0,33.419,39.6491,41.1561
