periods,G1,G2,G3
1.0,40.437,750.0,105.0
2.0,0.0,825.008,30.0
3.0,0.0,804.793,30.0
4.0,0.0,776.785,38.743
5.0,0.0,688.942,113.743
6.0,75.0,583.893,188.743
7.0,150.0,536.636,263.743
8.0,225.0,438.008,338.743
9.0,300.0,384.331,413.743
10.0,375.0,330.652,488.743
11.0,401.729,337.617,500.0
12.0,326.729,500.46,425.0
13.0,251.729,611.931,350.0
14.0,176.729,672.031,275.0
15.0,101.729,770.659,200.0
16.0,30.0,900.0,155.23
17.0,33.867,846.819,230.23
18.0,108.867,844.512,305.23
19.0,183.867,900.0,380.23
20.0,117.844,900.0,439.833
21.0,180.0,900.0,364.833
22.0,105.0,820.111,289.833
23.0,30.0,823.701,214.833
24.0,0.0,782.291,139.833
