periods,2001 1->2,2002 1->3,2003 2->4,2004 3->4
1.0,-161.142,191.142,511.489,221.142
2.0,-192.001,192.001,507.551,192.001
3.0,-187.462,187.462,495.551,187.462
4.0,-183.135,183.135,484.115,183.135
5.0,-180.252,180.252,476.491,180.252
6.0,-190.346,190.346,503.175,190.346
7.0,-213.418,213.418,564.165,213.418
8.0,-224.954,224.954,594.661,224.954
9.0,-230.231,230.231,638.193,260.231
10.0,-226.114,226.114,673.886,303.347
11.0,-216.16,216.16,683.84,330.171
12.0,-213.316,213.316,686.684,337.835
13.0,-221.848,221.848,678.152,314.843
14.0,-235.999,235.999,653.441,265.999
15.0,-240.816,240.816,636.592,240.816
16.0,-243.7,243.7,644.216,243.7
17.0,-233.115,233.115,645.817,263.115
18.0,-191.673,234.571,690.2,339.571
19.0,-137.973,255.871,762.027,435.871
20.0,-151.508,219.153,748.492,444.153
21.0,-138.807,270.943,761.193,420.943
22.0,-187.027,244.164,674.882,319.164
23.0,-239.951,239.951,634.305,239.951
24.0,-207.073,207.073,547.393,207.073
