periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4
1.0,3.5232,0.0096,4.6279,2.9911
2.0,3.7152,0.1519,4.825,3.175
3.0,2.9898,-0.2565,3.5912,1.8142
4.0,3.4616,0.0301,4.4793,2.8589
5.0,3.618,0.1392,4.7842,3.2158
6.0,3.7028,0.0872,4.835,3.165
7.0,4.0862,0.1972,5.057,2.943
8.0,5.3865,1.9245,5.5744,2.4256
9.0,6.2223,2.7153,5.9525,2.0475
10.0,6.281,2.6631,6.0162,1.9838
11.0,6.2481,2.6833,5.9876,2.0124
12.0,6.1269,2.6111,5.9224,2.0776
13.0,5.6374,2.0075,5.7366,2.2634
14.0,5.033,1.1373,5.5155,2.4845
15.0,5.1312,1.366,5.5299,2.4701
16.0,5.1739,1.4136,5.548,2.452
17.0,5.1949,1.4624,5.5529,2.4471
18.0,4.9367,1.1158,5.4465,2.5535
19.0,4.8638,0.977,5.4192,2.5808
20.0,4.6341,0.662,5.3157,2.6843
21.0,4.5049,0.486,5.2541,2.7459
22.0,4.3793,0.4185,5.1882,2.8118
23.0,4.3339,0.3233,5.1676,2.8324
24.0,3.6731,0.0002,4.5744,2.7232
