periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4
1.0,3.5157,-0.0096,4.5554,2.9068
2.0,3.4045,-0.1519,4.5178,2.8747
3.0,3.509,0.2565,4.1201,2.3368
4.0,3.4045,-0.0301,4.4089,2.7853
5.0,3.3324,-0.1392,4.4986,2.9375
6.0,3.5276,-0.0872,4.6626,2.9934
7.0,4.2572,0.3496,5.2271,3.0944
8.0,5.2636,1.7811,5.4742,2.3049
9.0,6.3743,2.8342,6.1213,2.1833
10.0,6.5532,2.9058,6.2902,2.2286
11.0,6.3472,2.7765,6.087,2.1061
12.0,6.0201,2.5246,5.8121,1.9876
13.0,5.5355,1.9268,5.6217,2.1699
14.0,5.2243,1.3246,5.6902,2.6552
15.0,5.1694,1.4014,5.5709,2.5083
16.0,5.1767,1.4154,5.5519,2.4548
17.0,5.1961,1.4631,5.5548,2.4484
18.0,4.9232,1.112,5.4273,2.5441
19.0,4.8605,0.9758,5.4141,2.5778
20.0,4.6233,0.6598,5.3006,2.678
21.0,4.4993,0.4852,5.2464,2.7429
22.0,4.374,0.4183,5.1812,2.8098
23.0,4.3321,0.323,5.165,2.8314
24.0,3.6482,-0.0002,4.5515,2.7248
