periods,Pipe1  1->2,Pipe2  1->3,Pipe3  4->2,Pipe4 4->3
1.0,3.5195,-0.0,4.5916,2.949
2.0,3.5598,-0.0,4.6714,3.0248
3.0,3.2494,-0.0,3.8557,2.0755
4.0,3.433,-0.0,4.4441,2.8221
5.0,3.4752,-0.0,4.6414,3.0766
6.0,3.6152,-0.0,4.7488,3.0792
7.0,4.1717,0.2734,5.142,3.0187
8.0,5.325,1.8528,5.5243,2.3652
9.0,6.2983,2.7747,6.0369,2.1154
10.0,6.4171,2.7845,6.1532,2.1062
11.0,6.2977,2.7299,6.0373,2.0593
12.0,6.0735,2.5678,5.8673,2.0326
13.0,5.5865,1.9672,5.6791,2.2167
14.0,5.1287,1.231,5.6028,2.5698
15.0,5.1503,1.3837,5.5504,2.4892
16.0,5.1753,1.4145,5.5499,2.4534
17.0,5.1955,1.4627,5.5538,2.4477
18.0,4.93,1.1139,5.4369,2.5488
19.0,4.8621,0.9764,5.4166,2.5793
20.0,4.6287,0.6609,5.3082,2.6811
21.0,4.5021,0.4856,5.2502,2.7444
22.0,4.3767,0.4184,5.1847,2.8108
23.0,4.333,0.3231,5.1663,2.8319
24.0,3.6607,-0.0,4.563,2.724
