periods,ngnode 1,ngnode 2,ngnode 3,ngnode 4
1.0,10.0,8.698,5.909,7.0
2.0,10.0,8.703,5.901,7.003
3.0,10.0,8.629,6.124,7.0
4.0,10.0,8.693,5.925,7.0
5.0,10.0,8.722,5.881,7.014
6.0,10.0,8.755,5.822,7.038
7.0,10.0,10.0,10.0,10.0
8.0,10.0,10.0,10.0,10.0
9.0,10.0,10.0,10.0,10.0
10.0,10.0,10.0,10.0,10.0
11.0,10.0,10.0,10.0,10.0
12.0,10.0,10.0,10.0,10.0
13.0,10.0,10.0,10.0,10.0
14.0,10.0,10.0,10.0,10.0
15.0,10.0,10.0,10.0,10.0
16.0,10.0,10.0,10.0,10.0
17.0,10.0,10.0,10.0,10.0
18.0,10.0,10.0,10.0,10.0
19.0,10.0,10.0,10.0,10.0
20.0,10.0,10.0,10.0,10.0
21.0,10.0,10.0,10.0,10.0
22.0,10.0,9.993,9.999,9.994
23.0,10.0,9.87,9.974,9.859
24.0,10.0,8.354,6.505,7.0
