periods,bus 1,bus 2,bus 3,bus 4
1.0,46.992,46.992,46.992,46.992
2.0,47.015,47.015,47.015,47.015
3.0,46.645,46.645,46.645,46.645
4.0,46.966,46.966,46.966,46.966
5.0,47.11,47.11,47.11,47.11
6.0,47.276,47.276,47.276,47.276
7.0,53.5,53.5,53.5,53.5
8.0,53.5,53.5,53.5,53.5
9.0,53.5,53.5,53.5,53.5
10.0,70.0,70.0,70.0,70.0
11.0,70.0,70.0,70.0,70.0
12.0,70.0,70.0,70.0,70.0
13.0,70.0,70.0,70.0,70.0
14.0,53.5,53.5,53.5,53.5
15.0,53.5,53.5,53.5,53.5
16.0,53.5,53.5,53.5,53.5
17.0,53.5,53.5,53.5,53.5
18.0,53.5,53.5,53.5,53.5
19.0,96.5,96.5,96.5,96.5
20.0,75.0,75.0,75.0,75.0
21.0,96.536,96.536,96.536,96.536
22.0,53.464,53.464,53.464,53.464
23.0,52.851,52.851,52.851,52.851
24.0,45.268,45.268,45.268,45.268
