periods,bus 1,bus 2,bus 3,bus 4
1.0,70.0,70.0,70.0,70.0
2.0,53.5,53.5,53.5,53.5
3.0,53.5,53.5,53.5,53.5
4.0,53.5,53.5,53.5,53.5
5.0,53.5,53.5,53.5,53.5
6.0,53.5,53.5,53.5,53.5
7.0,53.523,53.523,53.523,53.523
8.0,54.715,54.715,54.715,54.715
9.0,85.881,85.881,85.881,85.881
10.0,85.881,85.881,85.881,85.881
11.0,85.861,85.861,85.861,85.861
12.0,84.464,84.464,84.464,84.464
13.0,56.175,56.175,56.175,56.175
14.0,53.5,53.5,53.5,53.5
15.0,70.0,70.0,70.0,70.0
16.0,70.0,70.0,70.0,70.0
17.0,53.5,53.5,53.5,53.5
18.0,53.5,53.5,53.5,53.5
19.0,103.0,103.0,103.0,103.0
20.0,75.0,75.0,75.0,75.0
21.0,117.793,117.793,117.793,117.793
22.0,53.491,53.491,53.491,53.491
23.0,53.334,53.334,53.334,53.334
24.0,50.382,50.382,50.382,50.382
