periods,Hidraulic Power,Thermal power,Start-up and-Shut down,Power shedding,Well Production,Gas shedding
1.0,0,0.007,0.0,0.0,0.08,0.0
2.0,0,0.002,0.0,0.0,0.084,0.0
3.0,0,0.002,0.0,0.0,0.087,0.0
4.0,0,0.002,-0.0,0.0,0.087,0.0
5.0,0,0.002,0.0,0.0,0.087,0.0
6.0,0,0.002,-0.0,0.0,0.087,0.0
7.0,0,0.003,0.0,0.0,0.098,0.0
8.0,0,0.003,-0.0,0.0,0.129,0.0
9.0,0,0.005,0.001,0.0,0.145,0.0
10.0,0,0.009,0.0,0.0,0.145,0.0
11.0,0,0.011,0.0,0.0,0.145,0.0
12.0,0,0.012,0.0,0.0,0.143,0.0
13.0,0,0.01,0.0,0.0,0.133,0.0
14.0,0,0.005,0.0,0.0,0.126,0.0
15.0,0,0.003,-0.0,0.0,0.123,0.0
16.0,0,0.003,0.0,0.0,0.122,0.0
17.0,0,0.005,0.001,0.0,0.121,0.0
18.0,0,0.014,0.001,0.0,0.113,0.0
19.0,0,0.025,0.0,0.0,0.11,0.0
20.0,0,0.024,0.0,0.0,0.108,0.0
21.0,0,0.024,0.0,0.0,0.106,0.0
22.0,0,0.013,-0.0,0.0,0.104,0.0
23.0,0,0.003,-0.0,0.0,0.103,0.0
24.0,0,0.003,-0.0,0.0,0.087,0.0
