periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4
1.0,2.8861,0.0949,5.185,2.8023
2.0,2.8338,-0.0108,5.0884,2.7335
3.0,2.7852,-0.1136,4.8439,2.7069
4.0,2.8959,-0.0659,4.9175,2.8211
5.0,2.9341,-0.0615,4.8968,2.8598
6.0,3.1148,-0.0046,5.0753,2.9108
7.0,4.1994,0.3506,5.2849,3.0933
8.0,5.2614,1.7925,5.4764,2.2934
9.0,6.3514,2.8459,6.1441,2.1716
10.0,6.5431,2.9074,6.3003,2.227
11.0,6.3304,2.7896,6.1038,2.0931
12.0,6.0139,2.506,5.8184,2.0062
13.0,5.5751,1.9087,5.5821,2.188
14.0,5.3402,1.6008,5.5742,2.3791
15.0,5.2036,1.4614,5.5367,2.4483
16.0,5.1789,1.4034,5.5497,2.4667
17.0,5.1771,1.4076,5.5737,2.5039
18.0,4.8281,1.0271,5.5225,2.629
19.0,4.2879,1.3155,5.9867,2.2381
20.0,4.0479,1.19,5.8761,2.1479
21.0,3.948,1.045,5.7977,2.1831
22.0,3.8402,0.9596,5.715,2.2685
23.0,3.7889,0.8698,5.7083,2.2846
24.0,3.0307,-0.0043,5.169,2.7289
