periods,Pipe1  1->2,Pipe2  1->3,Pipe3  4->2,Pipe4 4->3
1.0,2.7796,0.0,5.1215,2.7505
2.0,2.8448,0.0,5.0983,2.7432
3.0,2.9047,0.0,4.9592,2.8163
4.0,2.9634,0.0,4.9836,2.8857
5.0,2.9972,0.0,4.9585,2.9198
6.0,3.1175,0.0,5.0779,2.9152
7.0,4.1024,0.2632,5.1855,3.0036
8.0,5.3259,1.8668,5.5291,2.3558
9.0,6.272,2.7855,6.0557,2.1022
10.0,6.404,2.7844,6.1605,2.1032
11.0,6.2803,2.7398,6.0544,2.044
12.0,6.0601,2.545,5.8658,2.0465
13.0,5.6318,1.9535,5.6455,2.2395
14.0,5.3507,1.6067,5.5882,2.3885
15.0,5.2072,1.4627,5.5416,2.4509
16.0,5.1743,1.3989,5.5455,2.4627
17.0,5.1566,1.3884,5.5537,2.4851
18.0,4.7872,0.9856,5.485,2.5908
19.0,4.227,1.2754,5.92,2.1924
20.0,4.0457,1.1868,5.8706,2.1414
21.0,3.9525,1.0465,5.804,2.1864
22.0,3.8447,0.9604,5.721,2.2708
23.0,3.7902,0.8705,5.7104,2.286
24.0,3.057,0.0,5.2055,2.7434
