periods,ngnode 1,ngnode 2,ngnode 3,ngnode 4
1.0,10.0,8.944,5.956,7.0
2.0,10.0,8.925,5.965,7.0
3.0,10.0,8.892,5.926,7.0
4.0,10.0,8.881,5.911,7.0
5.0,10.0,8.873,5.91,7.008
6.0,10.0,8.902,5.86,7.03
7.0,10.0,10.0,10.0,10.0
8.0,10.0,10.0,10.0,10.0
9.0,10.0,10.0,10.0,10.0
10.0,10.0,10.0,10.0,10.0
11.0,10.0,10.0,10.0,10.0
12.0,10.0,10.0,10.0,10.0
13.0,10.0,10.0,10.0,10.0
14.0,10.0,10.0,10.0,10.0
15.0,10.0,10.0,10.0,10.0
16.0,10.0,10.0,10.0,10.0
17.0,10.0,10.0,10.0,10.0
18.0,10.0,10.0,10.0,10.0
19.0,10.0,10.0,10.0,10.0
20.0,10.0,10.0,10.0,10.0
21.0,10.0,10.0,10.0,10.0
22.0,10.0,9.992,9.997,9.993
23.0,10.0,9.874,9.932,9.846
24.0,10.0,8.579,6.484,7.0
