periods,bus 1,bus 2,bus 3,bus 4
1.0,48.221,48.221,48.221,48.221
2.0,48.125,48.125,48.125,48.125
3.0,47.959,47.959,47.959,47.959
4.0,47.906,47.906,47.906,47.906
5.0,47.867,47.867,47.867,47.867
6.0,48.008,48.008,48.008,48.008
7.0,53.5,53.5,53.5,53.5
8.0,53.5,53.5,53.5,53.5
9.0,53.5,53.5,53.5,53.5
10.0,70.0,70.0,70.0,70.0
11.0,70.0,70.0,70.0,70.0
12.0,70.0,70.0,70.0,70.0
13.0,70.0,70.0,70.0,70.0
14.0,53.5,53.5,53.5,53.5
15.0,53.5,53.5,53.5,53.5
16.0,53.5,53.5,53.5,53.5
17.0,53.5,53.5,53.5,53.5
18.0,53.5,53.5,53.5,53.5
19.0,96.5,96.5,96.5,96.5
20.0,75.0,75.0,75.0,75.0
21.0,96.538,96.538,96.538,96.538
22.0,53.462,53.462,53.462,53.462
23.0,52.871,52.871,52.871,52.871
24.0,46.394,46.394,46.394,46.394
