periods,Pipe1 ,Pipe2 ,Pipe3 ,Pipe4
1.0,1.3106,1.3682,1.3625,1.4201
2.0,1.3326,1.3897,1.3823,1.4394
3.0,1.5715,1.617,1.6127,1.6582
4.0,1.7065,1.7488,1.745,1.7874
5.0,1.8327,1.8718,1.8683,1.9075
6.0,1.838,1.881,1.8733,1.9163
7.0,1.6441,1.7062,1.6746,1.7368
8.0,1.7732,1.8548,1.78,1.8616
9.0,1.6144,1.734,1.6031,1.7228
10.0,1.3364,1.4881,1.3234,1.4751
11.0,1.236,1.3885,1.2246,1.3771
12.0,1.3284,1.4666,1.3194,1.4576
13.0,1.4418,1.5562,1.4463,1.5607
14.0,1.4628,1.568,1.4742,1.5794
15.0,1.47,1.5706,1.4841,1.5846
16.0,1.4608,1.5616,1.4758,1.5766
17.0,1.4198,1.5232,1.4357,1.5391
18.0,1.3381,1.4401,1.3606,1.4627
19.0,1.2161,1.3599,1.2274,1.3711
20.0,1.2117,1.3535,1.2164,1.3582
21.0,1.2206,1.3565,1.229,1.3649
22.0,1.2295,1.358,1.2409,1.3694
23.0,1.2321,1.3594,1.2452,1.3724
24.0,1.2846,1.368,1.3181,1.4015
