periods,gnode 1,gnode 2,gnode 3,gnode 4
1.0,40.0054,36.6404,40.0054,43.0395
2.0,40.6357,37.2914,40.6356,43.542
3.0,47.28,44.6199,47.2803,49.6889
4.0,51.1357,48.657,51.1356,53.388
5.0,54.7317,52.4412,54.7316,56.8155
6.0,55.0,52.4882,55.0,57.0633
7.0,49.8982,46.2485,49.8817,51.6842
8.0,54.5536,49.1406,53.9115,54.9539
9.0,51.4748,42.9332,49.9278,50.8181
10.0,44.4067,33.7432,42.6155,43.6496
11.0,41.535,30.7476,39.6639,40.8662
12.0,43.6399,34.0456,42.1281,43.1145
13.0,45.9206,38.3965,45.0862,46.1819
14.0,46.1313,39.4149,45.5673,46.7978
15.0,46.1576,39.809,45.689,46.9802
16.0,45.8763,39.5506,45.4441,46.7531
17.0,44.7568,38.2731,44.3188,45.6853
18.0,42.2276,36.0211,41.9863,43.5489
19.0,40.0282,31.0889,39.4975,40.6863
20.0,40.0001,30.857,39.1527,40.2756
21.0,40.0,31.3792,39.3261,40.4903
22.0,40.0,31.901,39.4163,40.6679
23.0,40.0,32.0555,39.4946,40.7604
24.0,40.0,35.1252,40.0,41.9584
