periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4
1.0,0.0673,0.0,0.0,0.0566
2.0,0.0626,0.0,0.0,0.0519
3.0,0.036,0.0,0.0,0.0322
4.0,0.0293,0.0,0.0,0.0258
5.0,0.0237,0.0,0.0,0.0207
6.0,0.0268,0.0,0.0,0.0203
7.0,0.0095,0.0001,0.0036,0.0029
8.0,0.0033,0.0006,0.0036,0.0019
9.0,0.0157,0.0023,0.0102,0.0015
10.0,0.0183,0.0026,0.0152,0.0017
11.0,0.0076,0.0035,0.0072,0.0093
12.0,0.0165,0.002,0.0166,0.0014
13.0,0.0085,0.0008,0.0183,0.0012
14.0,0.0085,0.0007,0.0135,0.0013
15.0,0.0088,0.0007,0.0115,0.0013
16.0,0.0095,0.0007,0.0109,0.0013
17.0,0.0107,0.0008,0.0109,0.0014
18.0,0.0225,0.0008,0.0075,0.0017
19.0,0.18,0.0066,0.0046,0.0011
20.0,0.2061,0.0248,0.0,0.0
21.0,0.1948,0.0201,0.0,0.0
22.0,0.1844,0.0178,0.0,0.0
23.0,0.1833,0.0159,0.0,0.0
24.0,0.1154,0.0,0.0,0.0081
