Date,Time,1,2,3,4,5
1/01/2016,00:00:00,0,488.4204,146.52612,814.034,219.78918
1/01/2016,01:00:00,0,466.368,139.9104,777.28,209.8656
1/01/2016,02:00:00,0,455.3418,136.60254,758.903,204.90381
1/01/2016,03:00:00,0,444.8334,133.45002,741.389,200.17503
1/01/2016,04:00:00,0,437.8284,131.34852,729.714,197.02278
1/01/2016,05:00:00,0,462.3468,138.70404,770.578,208.05606
1/01/2016,06:00:00,0,518.3886,155.51658,863.981,233.27487
1/01/2016,07:00:00,0,546.4098,163.92294,910.683,245.88441
1/01/2016,08:00:00,0,598.9494,179.68482,998.249,269.52723
1/01/2016,09:00:00,0,651.4884,195.44652,1085.814,293.16978
1/01/2016,10:00:00,0,676.0068,202.80204,1126.678,304.20306
1/01/2016,11:00:00,0,683.0124,204.90372,1138.354,307.35558
1/01/2016,12:00:00,0,661.9962,198.59886,1103.327,297.89829
1/01/2016,13:00:00,0,612.96,183.888,1021.6,275.832
1/01/2016,14:00:00,0,584.9388,175.48164,974.898,263.22246
1/01/2016,15:00:00,0,591.9438,177.58314,986.573,266.37471
1/01/2016,16:00:00,0,605.9544,181.78632,1009.924,272.67948
1/01/2016,17:00:00,0,686.5146,205.95438,1144.191,308.93157
1/01/2016,18:00:00,0,798.5988,239.57964,1330.998,359.36946
1/01/2016,19:00:00,0,795.0966,238.52898,1325.161,357.79347
1/01/2016,20:00:00,0,788.091,236.4273,1313.485,354.64095
1/01/2016,21:00:00,0,662.697,198.8091,1104.495,298.21365
1/01/2016,22:00:00,0,582.837,174.8511,971.395,262.27665
1/01/2016,23:00:00,0,502.977,150.8931,838.295,226.33965
