periods,Hidraulic Power,Thermal power,Start-up and-Shut down,Power shedding,Well Production,Gas shedding
1.0,0.005,0.018,0.001,-0.0,0.114,-0.0
2.0,0.005,0.013,-0.0,-0.0,0.091,-0.0
3.0,0.005,0.012,-0.0,-0.0,0.087,-0.0
4.0,0.005,0.011,-0.0,-0.0,0.087,-0.0
5.0,0.005,0.01,-0.0,-0.0,0.089,-0.0
6.0,0.005,0.013,-0.0,-0.0,0.097,-0.0
7.0,0.005,0.018,-0.0,-0.0,0.119,-0.0
8.0,0.005,0.02,-0.0,-0.0,0.158,-0.0
9.0,0.005,0.027,0.001,-0.0,0.208,-0.0
10.0,0.005,0.034,-0.0,-0.0,0.216,-0.0
11.0,0.005,0.037,-0.0,-0.0,0.214,-0.0
12.0,0.005,0.039,-0.0,-0.0,0.204,-0.0
13.0,0.005,0.036,-0.0,-0.0,0.183,-0.0
14.0,0.005,0.029,-0.0,-0.0,0.168,-0.0
15.0,0.005,0.026,-0.0,-0.0,0.165,-0.0
16.0,0.005,0.027,-0.0,-0.0,0.158,-0.0
17.0,0.005,0.028,-0.0,-0.0,0.161,-0.0
18.0,0.005,0.039,0.001,-0.0,0.171,-0.0
19.0,0.005,0.056,-0.0,-0.0,0.197,-0.0
20.0,0.005,0.057,-0.0,-0.0,0.19,-0.0
21.0,0.005,0.056,-0.0,-0.0,0.185,-0.0
22.0,0.005,0.038,-0.0,-0.0,0.152,-0.0
23.0,0.005,0.028,-0.0,-0.0,0.099,-0.0
24.0,0.005,0.02,-0.0,-0.0,0.113,-0.0
