periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4,pipe Pipe5,pipe Pipe6,pipe Pipe7
1.0,1.9332,0.303,4.2154,3.7596,8.0,2.8043,4.8592
2.0,0.621,0.3296,3.9864,3.9475,8.0,1.2395,4.5332
3.0,0.545,0.2843,3.9443,3.9188,8.0,1.0031,4.3513
4.0,0.6055,0.2551,3.9775,3.9407,8.0,1.0107,4.5256
5.0,0.7232,0.2699,3.9725,3.9176,8.0,1.1566,4.6195
6.0,0.8145,0.3721,3.9934,3.9283,8.0,1.6356,4.7646
7.0,1.3834,1.0587,4.0702,3.9711,8.0,3.1598,5.5123
8.0,2.5835,2.0486,4.1207,3.8113,8.0,5.7657,6.6266
9.0,4.2314,3.3742,4.3804,3.563,8.0,9.0885,8.0579
10.0,4.6167,3.4628,4.6242,3.4735,8.0,9.6066,8.289
11.0,4.3673,3.1767,4.5599,3.4354,8.0,9.4712,7.9564
12.0,4.0057,2.7644,4.5003,3.4399,8.0,8.8225,7.3842
13.0,3.2087,2.1477,4.3315,3.6123,8.0,7.3794,6.7457
14.0,2.4833,1.8757,4.2032,3.8737,8.0,6.3876,6.5987
15.0,2.5613,1.8518,4.3539,3.9845,8.0,6.181,6.622
16.0,2.2621,1.7267,4.126,3.8584,8.0,5.7124,6.3578
17.0,2.2705,1.7567,4.1108,3.8509,8.0,5.9261,6.3795
18.0,2.8512,1.6856,4.311,3.6492,8.0,6.6037,5.9806
19.0,4.2093,2.096,4.814,3.1462,8.0,8.3337,5.7689
20.0,4.0295,1.801,4.7968,3.1634,8.0,7.8668,5.4705
21.0,3.9034,1.65,4.7665,3.1937,8.0,7.5637,5.4319
22.0,2.3144,1.0966,4.2455,3.7147,8.0,5.3605,5.4506
23.0,0.0759,0.0108,3.9848,3.9754,8.0,1.8254,4.8156
24.0,1.2557,-0.0075,3.868,3.6587,8.0,2.7442,5.1777
