periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4,pipe Pipe5,pipe Pipe6,pipe Pipe7
1.0,1.8292,0.2211,4.0317,3.598,8.0148,2.7998,4.7269
2.0,0.5866,0.3065,3.9465,3.9188,7.9735,1.2062,4.4423
3.0,0.4745,0.2141,3.8768,3.8516,7.9024,0.9541,4.231
4.0,0.5769,0.2262,3.9487,3.9116,7.9578,0.9855,4.4951
5.0,0.6843,0.2306,3.9352,3.8799,7.9295,1.1234,4.5655
6.0,0.7927,0.3501,3.9719,3.9066,7.9613,1.6193,4.7415
7.0,1.4124,1.0867,4.1,3.9999,8.0814,3.1826,5.6188
8.0,2.5374,1.9975,4.0891,3.7747,7.9717,5.685,6.6663
9.0,4.1791,3.3096,4.3551,3.5254,7.983,8.9748,8.1862
10.0,4.6382,3.4752,4.6496,3.4897,8.1382,9.7527,8.3769
11.0,4.4057,3.2156,4.5934,3.4695,8.0353,9.516,7.9661
12.0,4.0427,2.8029,4.5296,3.4706,7.9799,8.814,7.3617
13.0,3.2327,2.1804,4.3421,3.6316,7.9835,7.3931,6.6839
14.0,2.4437,1.8463,4.155,3.8358,8.1173,6.3839,6.4932
15.0,2.4145,1.7044,4.2075,3.8375,8.3801,6.1368,6.3788
16.0,2.2465,1.7138,4.1113,3.8463,8.0243,5.7232,6.3142
17.0,2.2694,1.7558,4.1101,3.8503,8.0014,5.9059,6.3817
18.0,2.8526,1.6775,4.316,3.6448,8.0001,6.5695,5.9651
19.0,4.2089,2.0721,4.8277,3.1363,8.0,8.3468,5.7978
20.0,4.0323,1.8049,4.7961,3.1638,8.0,7.8697,5.4457
21.0,3.9045,1.6525,4.7656,3.1942,8.0,7.5911,5.4274
22.0,2.3151,1.1217,4.2316,3.7251,8.0,5.4381,5.4073
23.0,0.4656,0.4124,4.35,4.3525,8.0,1.9056,5.3774
24.0,1.2765,0.0075,3.9012,3.6862,7.5643,2.7714,5.2283
