periods,bus 1,bus 2,bus 3,bus 4,bus 5,bus 6
1.0,115.875,115.875,115.875,115.875,115.875,115.875
2.0,77.725,77.725,77.725,77.725,77.725,77.725
3.0,71.725,71.725,71.725,71.725,71.725,71.725
4.0,71.725,71.725,71.725,71.725,71.725,71.725
5.0,71.725,71.725,71.725,71.725,71.725,71.725
6.0,71.725,71.725,71.725,71.725,71.725,71.725
7.0,114.8,114.8,114.8,114.8,114.8,114.8
8.0,71.725,71.725,71.725,71.725,71.725,71.725
9.0,115.875,115.875,115.875,115.875,115.875,115.875
10.0,115.875,115.875,115.875,115.875,115.875,115.875
11.0,115.875,115.875,115.875,115.875,115.875,115.875
12.0,115.875,115.875,115.875,115.875,115.875,115.875
13.0,115.875,115.875,115.875,115.875,115.875,115.875
14.0,121.875,121.875,121.875,121.875,121.875,121.875
15.0,71.725,71.725,71.725,71.725,71.725,71.725
16.0,96.8,96.8,96.8,96.8,96.8,96.8
17.0,96.8,96.8,96.8,96.8,96.8,96.8
18.0,115.875,115.875,115.875,115.875,115.875,115.875
19.0,115.875,115.875,115.875,115.875,115.875,115.875
20.0,115.875,115.875,115.875,115.875,115.875,115.875
21.0,115.875,115.875,115.875,115.875,115.875,115.875
22.0,115.875,115.875,115.875,115.875,115.875,115.875
23.0,121.875,121.875,121.875,121.875,121.875,121.875
24.0,71.725,71.725,71.725,71.725,71.725,71.725
