periods,Pipe1 ,Pipe2 ,Pipe3 ,Pipe4,Pipe5,Pipe6,Pipe7
1.0,1.6276,1.6398,1.6731,1.6853,1.5152,1.5345,2.1823
2.0,1.6619,1.6628,1.713,1.7139,1.5416,1.5677,2.2732
3.0,1.7324,1.7331,1.7805,1.7812,1.6393,1.6168,2.3936
4.0,1.761,1.762,1.8093,1.8103,1.6815,1.642,2.424
5.0,1.8,1.8013,1.8466,1.848,1.7519,1.6752,2.478
6.0,1.8217,1.8234,1.8681,1.8697,1.7906,1.6915,2.5011
7.0,1.7928,1.7954,1.8383,1.8409,1.7092,1.6687,2.3946
8.0,1.8388,1.8465,1.8698,1.8775,1.7375,1.7494,2.3548
9.0,1.8911,1.911,1.8951,1.9151,1.7545,1.863,2.2266
10.0,1.8695,1.8987,1.8698,1.8989,1.6163,1.717,2.1387
11.0,1.8312,1.8597,1.8363,1.8649,1.581,1.6721,2.129
12.0,1.7941,1.8213,1.807,1.8342,1.6011,1.6806,2.1515
13.0,1.7701,1.7886,1.7964,1.8149,1.6176,1.6669,2.2132
14.0,1.8098,1.818,1.8446,1.8529,1.5002,1.6705,2.3187
15.0,1.9566,1.9655,1.991,1.9999,1.1201,1.7148,2.5619
16.0,1.9722,1.9784,2.0057,2.0119,1.0958,1.704,2.6054
17.0,1.9733,1.9793,2.0064,2.0124,1.0944,1.7242,2.6032
18.0,1.972,1.9874,2.0014,2.0168,1.0943,1.7584,2.6188
19.0,1.9724,2.0112,1.9878,2.0267,1.0943,1.7452,2.5898
20.0,1.9696,2.0073,1.9885,2.0263,1.0943,1.7423,2.6146
21.0,1.9684,2.0048,1.9893,2.0257,1.0943,1.715,2.6192
22.0,1.9677,1.9797,2.0033,2.0153,1.0943,1.6374,2.6624
23.0,1.578,1.5781,1.6381,1.6382,1.0943,1.5572,2.1007
24.0,1.5572,1.563,1.6049,1.6108,1.53,1.53,2.05
