periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4,pipe Pipe5,pipe Pipe6,pipe Pipe7
1.0,2.2015,0.0693,4.1339,4.1135,8.0,2.9109,4.9323
2.0,-0.0697,-0.0774,4.0831,4.0033,8.0,0.035,4.2819
3.0,-0.041,0.4414,3.9896,3.4571,8.0,0.5708,4.1138
4.0,-0.0136,0.2019,4.4048,3.896,8.0,0.2233,4.4327
5.0,0.6927,0.0075,3.899,4.1236,8.0,0.7883,4.5752
6.0,1.0507,0.2877,3.8811,4.088,8.0,1.8616,4.8165
7.0,2.2981,1.7648,3.9472,3.7202,8.0,4.9785,5.8534
8.0,2.3955,1.8753,4.1624,3.8901,8.0,5.4265,6.5657
9.0,4.5659,3.7177,4.284,3.3672,8.0,9.6604,8.1536
10.0,4.7027,3.5288,4.6575,3.4648,8.0,9.7225,8.3498
11.0,4.4032,3.2238,4.5311,3.3874,8.0,9.5632,7.9628
12.0,4.076,2.8362,4.491,3.4014,8.0,9.018,7.4121
13.0,3.2957,2.2291,4.3184,3.5703,8.0,7.5823,6.7794
14.0,2.4487,1.8274,4.1646,3.8773,8.0,6.3124,6.5693
15.0,2.2311,1.6481,4.1475,3.8817,8.0,5.6126,6.3882
16.0,1.577,1.2181,4.1757,4.0181,8.0,4.4719,6.0694
17.0,2.847,2.262,4.025,3.6414,8.0,7.0665,6.5867
18.0,2.9162,1.7076,4.397,3.7021,8.0,6.7395,6.0548
19.0,4.4778,2.2535,5.0634,3.2802,8.0,8.6776,5.9982
20.0,4.1051,1.7702,4.7847,3.2097,8.0,7.9146,5.5074
21.0,3.9267,1.6246,4.7444,3.219,8.0,7.6472,5.4337
22.0,2.3961,1.1004,4.2485,3.7118,8.0,5.6079,5.4485
23.0,0.5362,0.1719,4.002,3.9582,8.0,2.1315,4.9259
24.0,1.0173,-0.0474,3.8468,3.6799,8.0,2.1281,5.0676
