periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4,pipe Pipe5,pipe Pipe6,pipe Pipe7
1.0,2.0441,-0.0693,3.8899,3.8884,8.2887,2.8345,4.7269
2.0,0.0697,0.0774,4.2122,4.1479,8.1268,0.1031,4.4423
3.0,0.041,0.5242,4.0729,3.5414,7.4839,0.523,4.231
4.0,0.0136,0.2282,4.4192,3.9096,8.3423,0.3098,4.4951
5.0,0.6797,-0.0075,3.8955,4.118,8.0627,0.829,4.5655
6.0,0.9907,0.2259,3.8258,4.0308,8.0089,1.7718,4.7415
7.0,2.0892,1.5527,3.7642,3.5339,7.7056,4.8115,5.6188
8.0,2.4014,1.8808,4.1643,3.8914,8.0928,5.322,6.6663
9.0,4.4334,3.5702,4.1965,3.2648,7.6895,9.6563,8.1862
10.0,4.6997,3.5172,4.6489,3.4477,8.1629,9.9054,8.3769
11.0,4.4411,3.2631,4.5644,3.4221,7.9581,9.5995,7.9661
12.0,4.0965,2.858,4.5037,3.4155,7.9319,8.9568,7.3617
13.0,3.2996,2.242,4.309,3.5699,7.9282,7.5624,6.6839
14.0,2.4327,1.822,4.1367,3.86,8.0821,6.3006,6.4932
15.0,2.2371,1.6554,4.151,3.8865,8.0693,5.6002,6.3788
16.0,1.7422,1.3869,4.3272,4.1732,8.2347,4.5235,6.3142
17.0,2.6908,2.0997,3.8959,3.5064,7.7047,6.9931,6.3817
18.0,2.8848,1.6678,4.3579,3.6546,8.1396,6.6569,5.9651
19.0,4.3316,2.0823,4.9344,3.1262,8.3853,8.7749,5.7978
20.0,4.0935,1.7652,4.7718,3.2034,8.0343,7.9146,5.4457
21.0,3.9286,1.6277,4.7434,3.2191,8.0032,7.5891,5.4274
22.0,2.3976,1.1251,4.2352,3.7217,8.0001,5.4531,5.4073
23.0,0.8532,0.4999,4.2977,4.265,8.0,2.3492,5.3774
24.0,1.1158,0.0474,3.9517,3.7813,7.5643,2.3108,5.2283
