periods,Pipe1  1->2,Pipe2  1->3,Pipe3  4->2,Pipe4 4->3,Pipe5 6->5,Pipe6 8->7,Pipe7 2->9
1.0,2.1228,0.0,4.0119,4.001,8.1443,2.8727,4.8296
2.0,0.0,0.0,4.1476,4.0756,8.0634,0.0691,4.3621
3.0,0.0,0.4828,4.0312,3.4993,7.742,0.5469,4.1724
4.0,0.0,0.215,4.412,3.9028,8.1712,0.2666,4.4639
5.0,0.6862,0.0,3.8972,4.1208,8.0313,0.8086,4.5704
6.0,1.0207,0.2568,3.8534,4.0594,8.0044,1.8167,4.779
7.0,2.1937,1.6588,3.8557,3.627,7.8528,4.895,5.7361
8.0,2.3985,1.8781,4.1634,3.8907,8.0464,5.3742,6.616
9.0,4.4997,3.6439,4.2402,3.316,7.8447,9.6583,8.1699
10.0,4.7012,3.523,4.6532,3.4562,8.0814,9.8139,8.3634
11.0,4.4222,3.2435,4.5477,3.4048,7.9791,9.5813,7.9645
12.0,4.0863,2.8471,4.4974,3.4085,7.9659,8.9874,7.3869
13.0,3.2976,2.2356,4.3137,3.5701,7.9641,7.5723,6.7317
14.0,2.4407,1.8247,4.1506,3.8686,8.0411,6.3065,6.5313
15.0,2.2341,1.6518,4.1493,3.8841,8.0347,5.6064,6.3835
16.0,1.6596,1.3025,4.2514,4.0956,8.1174,4.4977,6.1918
17.0,2.7689,2.1808,3.9605,3.5739,7.8524,7.0298,6.4842
18.0,2.9005,1.6877,4.3775,3.6783,8.0698,6.6982,6.0099
19.0,4.4047,2.1679,4.9989,3.2032,8.1926,8.7262,5.898
20.0,4.0993,1.7677,4.7782,3.2066,8.0172,7.9146,5.4766
21.0,3.9276,1.6261,4.7439,3.219,8.0016,7.6181,5.4306
22.0,2.3968,1.1128,4.2419,3.7168,8.0001,5.5305,5.4279
23.0,0.6947,0.3359,4.1498,4.1116,8.0,2.2404,5.1516
24.0,1.0666,0.0,3.8992,3.7306,7.7822,2.2195,5.148
