periods,UHp1,UHp2,UHp3,UHp4
1.0,200.0,500.0,150.0,200.0
2.0,200.0,500.0,150.0,200.0
3.0,200.0,500.0,150.0,200.0
4.0,200.0,500.0,150.0,200.0
5.0,200.0,500.0,150.0,200.0
6.0,200.0,500.0,150.0,200.0
7.0,200.0,500.0,150.0,200.0
8.0,200.0,500.0,150.0,200.0
9.0,200.0,500.0,150.0,200.0
10.0,200.0,500.0,150.0,200.0
11.0,200.0,500.0,150.0,200.0
12.0,200.0,500.0,150.0,200.0
13.0,200.0,500.0,150.0,200.0
14.0,200.0,500.0,150.0,200.0
15.0,200.0,500.0,150.0,200.0
16.0,200.0,500.0,150.0,200.0
17.0,200.0,500.0,150.0,200.0
18.0,200.0,500.0,150.0,200.0
19.0,200.0,500.0,150.0,200.0
20.0,200.0,500.0,150.0,200.0
21.0,200.0,500.0,150.0,200.0
22.0,200.0,500.0,150.0,200.0
23.0,200.0,500.0,150.0,200.0
24.0,200.0,500.0,150.0,200.0
