periods,1,2,3,4,5,6,7,8,9,10
1.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
2.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
3.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
4.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
5.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
6.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
7.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
8.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
9.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
10.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
11.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
12.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
13.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
14.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
15.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
16.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
17.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
18.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
19.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
20.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
21.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
22.0,15.075,15.075,15.075,15.075,15.0,14.998,15.0,15.0,15.076,15.137
23.0,15.075,15.077,15.074,15.069,14.994,14.968,15.0,15.0,15.1,15.161
24.0,15.075,14.994,15.075,14.646,14.573,14.573,15.0,15.0,15.806,15.869
