periods,Pipe1 ,Pipe2 ,Pipe3 ,Pipe4,Pipe5,Pipe6,Pipe7
1.0,1.6811,1.6965,1.7334,1.7488,1.2413,1.6064,2.2554
2.0,1.5416,1.5416,1.6042,1.6042,1.1145,1.5384,2.0951
3.0,1.4597,1.4588,1.5209,1.5199,1.6306,1.5861,1.9779
4.0,1.4326,1.4324,1.5066,1.5064,1.2883,1.4996,1.9156
5.0,1.4455,1.4475,1.51,1.512,1.2256,1.4589,1.9253
6.0,1.5055,1.5093,1.5653,1.5691,1.2167,1.5487,2.0003
7.0,1.7143,1.7214,1.7483,1.7554,1.5111,1.7156,2.2349
8.0,1.7084,1.716,1.7465,1.7541,1.4183,1.8202,2.1343
9.0,1.841,1.8634,1.834,1.8565,1.7288,1.8243,2.1017
10.0,1.844,1.875,1.8425,1.8736,1.566,1.6413,2.0746
11.0,1.8061,1.8358,1.8093,1.839,1.6078,1.6051,2.0713
12.0,1.7856,1.814,1.7965,1.8249,1.676,1.6662,2.1217
13.0,1.7817,1.8011,1.806,1.8254,1.7478,1.6861,2.2172
14.0,1.7977,1.8064,1.834,1.8427,1.6657,1.6979,2.2934
15.0,1.7918,1.7992,1.8304,1.8378,1.5963,1.7103,2.3027
16.0,1.6266,1.6303,1.6789,1.6826,1.3616,1.6588,2.0579
17.0,1.7828,1.7925,1.808,1.8177,1.6569,1.7322,2.2629
18.0,1.8143,1.8323,1.8471,1.8652,1.5173,1.8147,2.3526
19.0,1.9605,2.0036,1.976,2.0191,1.132,1.7174,2.553
20.0,1.972,2.0085,1.9889,2.0254,1.0977,1.7174,2.6147
21.0,1.9701,2.0054,1.99,2.0252,1.0945,1.7756,2.621
22.0,1.9687,1.9808,2.0032,2.0153,1.0943,1.9304,2.6623
23.0,1.6517,1.6528,1.7075,1.7086,1.0943,1.7127,2.2107
24.0,1.5532,1.5579,1.6025,1.6073,1.53,1.53,2.05
