periods,1,2,3,4,5,6,7,8,9,10
1.0,49.5471,48.6466,49.5471,52.603,24.3763,46.0737,40.682,50.4872,79.3566,33.0
2.0,45.0248,45.0248,45.0248,48.6801,20.4481,42.8063,39.6848,47.6229,73.8802,33.0
3.0,42.6328,42.6328,42.5761,46.2057,37.2465,55.2966,40.8844,49.1318,69.6221,33.0
4.0,41.8396,41.8396,41.8279,46.1614,25.8337,47.2817,38.6781,46.4303,66.8778,33.0
5.0,42.2743,42.1615,42.2743,46.0415,24.0583,45.4996,37.568,45.2293,67.1085,33.0
6.0,44.0871,43.8508,44.0719,47.583,23.9011,45.1521,39.6355,48.2585,69.6734,33.0
7.0,50.5452,49.5917,50.0058,52.5294,33.5235,52.2355,42.2071,55.162,77.2465,33.0
8.0,50.4651,49.327,49.7694,52.6884,30.3033,50.1906,44.6146,58.6858,71.7996,33.0
9.0,55.6278,51.9044,53.2184,55.2224,40.1469,57.9711,39.3802,64.1532,67.3748,33.0
10.0,55.8813,51.8268,53.6426,55.798,34.8632,54.0111,33.4509,59.7004,65.9142,33.0
11.0,54.5863,50.9082,52.6456,54.7725,36.2599,54.9909,32.7368,58.358,66.6466,33.0
12.0,53.7367,50.5623,52.2226,54.374,38.3706,56.7468,35.6254,58.9401,69.8525,33.0
13.0,53.0719,50.9995,52.1309,54.491,40.5224,58.6697,38.3728,57.3205,74.8368,33.0
14.0,53.0698,51.9381,52.4462,55.1858,37.9057,56.6263,40.1982,56.1663,78.2188,33.0
15.0,52.8023,51.857,52.2888,55.0604,35.8227,54.7754,41.2788,55.7895,78.8323,33.0
16.0,47.793,47.2176,47.4348,50.8506,28.3936,48.8832,40.981,53.1604,69.5757,33.0
17.0,52.8038,51.3336,51.8994,54.2726,37.9427,56.0923,40.3421,57.9652,77.0937,33.0
18.0,53.7799,52.1936,53.2492,55.6966,33.3896,52.7215,43.1259,59.8667,81.3247,33.0
19.0,58.9174,55.5968,58.1127,59.8263,20.1253,44.1211,37.6638,59.8056,89.2954,33.0
20.0,59.0126,56.1753,58.3056,59.9994,20.0748,42.2226,38.7038,58.7668,92.2182,33.0
21.0,58.842,56.2362,58.297,59.9999,20.0004,42.1142,40.8287,59.9434,92.5175,33.0
22.0,57.982,57.0108,57.7189,60.0,20.0,42.1079,47.4361,62.1198,94.0817,33.0
23.0,48.2878,48.1906,48.2542,51.5469,20.0,42.1077,43.7494,53.453,77.2771,33.0
24.0,45.5,45.2243,45.5,48.3816,34.2311,52.6021,38.9901,47.8431,71.1207,33.0
