periods,G1,G2,G3-TG,G4,G3-TG-TV
1.0,137.424,200.346,0.0,0.0,200.0
2.0,62.424,0.0,0.0,0.0,400.0
3.0,30.0,0.0,0.0,0.0,394.751
4.0,30.0,0.0,0.0,0.0,358.847
5.0,31.161,0.0,0.0,0.0,333.753
6.0,106.161,0.0,0.0,0.0,342.524
7.0,181.161,0.0,0.0,0.0,420.0
8.0,256.161,0.0,0.0,0.0,410.739
9.0,331.161,95.249,0.0,0.0,420.0
10.0,406.161,199.758,0.0,0.0,420.0
11.0,481.161,208.529,0.0,0.0,420.0
12.0,500.0,237.626,0.0,0.0,420.0
13.0,500.0,165.82,0.0,0.0,420.0
14.0,498.28,0.0,0.0,0.0,420.0
15.0,423.28,0.0,0.0,0.0,399.261
16.0,426.475,0.0,0.0,0.0,420.0
17.0,462.344,0.0,0.0,0.0,420.0
18.0,500.0,237.592,0.0,0.0,420.0
19.0,500.0,653.546,0.0,0.0,420.0
20.0,500.0,671.58,0.0,0.0,420.0
21.0,500.0,647.644,0.0,0.0,420.0
22.0,482.36,236.855,0.0,0.0,420.0
23.0,407.36,45.0,0.0,0.0,420.0
24.0,332.36,0.0,0.0,0.0,267.145
