periods,Hidraulic Power,Thermal power,Start-up and-Shut down,Power shedding,Well Production,Gas shedding
1.0,0.003,0.041,0.001,-0.0,0.163,-0.0
2.0,0.001,0.043,-0.0,-0.0,0.141,-0.0
3.0,0.001,0.04,-0.0,-0.0,0.133,-0.0
4.0,0.001,0.039,-0.0,-0.0,0.133,-0.0
5.0,0.001,0.038,-0.0,-0.0,0.134,-0.0
6.0,0.002,0.04,-0.0,-0.0,0.145,-0.0
7.0,0.002,0.046,-0.0,-0.0,0.18,-0.0
8.0,0.002,0.045,-0.0,-0.0,0.214,-0.0
9.0,0.004,0.038,-0.0,-0.0,0.22,-0.0
10.0,0.004,0.041,-0.0,-0.0,0.221,-0.0
11.0,0.004,0.045,-0.0,-0.0,0.221,-0.0
12.0,0.004,0.048,-0.0,-0.0,0.22,-0.0
13.0,0.003,0.053,-0.0,-0.0,0.218,-0.0
14.0,0.002,0.053,-0.0,-0.0,0.213,-0.0
15.0,0.002,0.049,-0.0,-0.0,0.206,-0.0
16.0,0.004,0.038,-0.0,-0.0,0.184,-0.0
17.0,0.005,0.034,-0.0,-0.0,0.171,-0.0
18.0,0.005,0.045,-0.0,-0.0,0.182,-0.0
19.0,0.005,0.062,-0.0,-0.0,0.207,-0.0
20.0,0.005,0.062,-0.0,-0.0,0.201,-0.0
21.0,0.005,0.061,-0.0,-0.0,0.196,-0.0
22.0,0.005,0.044,-0.0,-0.0,0.164,-0.0
23.0,0.005,0.033,-0.0,-0.0,0.142,-0.0
24.0,0.002,0.043,-0.0,-0.0,0.12,-0.0
